"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CSFH",93.0333333333333,16,1,0.375,0.0765465544619743,0.251350920647023,0.559476765145739
"Trt=CSFH",93.2833333333333,15,1,0.35,0.0754155156449918,0.22943368356151,0.533923345946534
"Trt=CSFH",95.0166666666667,14,1,0.325,0.0740565662179931,0.207932878511254,0.507976423720231
"Trt=CSFH",95.55,13,1,0.3,0.0724568837309472,0.18686869407724,0.481621603042827
"Trt=CSFH",95.6833333333333,12,1,0.275,0.0706001062322147,0.166266867351004,0.454841070893272
"Trt=CSFH",95.8166666666667,11,1,0.25,0.0684653196881458,0.146160111472964,0.427613248034236
"Trt=CSFH",97.1333333333333,10,1,0.225,0.0660255632312213,0.126590181745598,0.399912531145098
"Trt=CSFH",102.766666666667,9,1,0.2,0.0632455532033676,0.107610942025418,0.371709412139073
"Trt=CSFH",102.883333333333,8,1,0.175,0.0600780742034896,0.0892930723021799,0.342971735773195
"Trt=CSFH",105.066666666667,7,1,0.15,0.0564579489531811,0.0717316196838148,0.31366920333289
"Trt=CSFH",105.816666666667,6,1,0.125,0.0522912516583797,0.0550588150077033,0.283787437085486
"Trt=CSFH",105.9,5,1,0.1,0.0474341649025257,0.0394675035168506,0.253373005863685
"Trt=CSFH",109.816666666667,4,1,0.075,0.0416458281223942,0.0252585270548182,0.222697071281795
"Trt=CSFH",115.083333333333,3,1,0.05,0.0344601218802255,0.0129514927227161,0.193027943073708
"Trt=CSFH",121.133333333333,2,1,0.025,0.0246855220726644,0.00360948988688636,0.173154661624261
"Trt=CSFH",128.116666666667,1,1,0,NA,NA,NA
"Trt=CSMH",28.1166666666667,40,1,0.975,0.0246855220726644,0.927798108727978,1
"Trt=CSMH",35.2833333333333,39,1,0.95,0.0344601218802255,0.884804413157851,1
"Trt=CSMH",37.8333333333333,38,1,0.925,0.0416458281223942,0.84687340944188,1
"Trt=CSMH",38.6666666666667,37,1,0.9,0.0474341649025257,0.811671410405463,0.997940779502597
"Trt=CSMH",40.8,36,1,0.875,0.0522912516583797,0.778285664634367,0.983732625166217
"Trt=CSMH",41.0666666666667,35,1,0.85,0.0564579489531811,0.746244544029642,0.968181282905702
"Trt=CSMH",41.7833333333333,34,1,0.825,0.0600780742034896,0.715266406015525,0.95156852646205
"Trt=CSMH",42.0333333333333,33,1,0.8,0.0632455532033676,0.685167250375447,0.934078503678194
"Trt=CSMH",42.05,32,1,0.775,0.0660255632312213,0.65581931620794,0.915839142209042
"Trt=CSMH",42.15,31,1,0.75,0.0684653196881458,0.627129960173383,0.896943274476131
"Trt=CSMH",42.25,30,1,0.725,0.0706001062322147,0.599029847976793,0.877460450051502
"Trt=CSMH",44.1833333333333,29,1,0.7,0.0724568837309472,0.571465885506425,0.857444009218099
"Trt=CSMH",44.5666666666667,28,2,0.65,0.0754155156449918,0.517790000647464,0.815967862399216
"Trt=CSMH",45.1833333333333,26,1,0.625,0.0765465544619743,0.491620002739209,0.794566937519864
"Trt=CSMH",45.6333333333333,25,1,0.6,0.0774596669241483,0.46586663064962,0.772753351099656
"Trt=CSMH",45.8333333333333,24,1,0.575,0.0781624910043174,0.440514249491332,0.750543257980367
"Trt=CSMH",45.85,23,1,0.55,0.0786606636127614,0.415551032185234,0.727949100280804
"Trt=CSMH",46.3166666666667,22,1,0.525,0.0789580584867688,0.390968473969123,0.704980115664692
"Trt=CSMH",46.75,21,1,0.5,0.0790569415042095,0.366761063271134,0.681642696120073
"Trt=CSMH",46.8833333333333,20,1,0.475,0.0789580584867688,0.3429260778114,0.657940630937048
"Trt=CSMH",47,19,2,0.425,0.0781624910043174,0.29637595754985,0.609445521469532
"Trt=CSMH",47.9,17,1,0.4,0.0774596669241484,0.273668947074593,0.584647990611772
