CensusTime,AgeH,Chamber,Collective,UniqueName,line,treatment,Transfer,Deaths,Carried,Censored,Flag1,Flag2,N,trial,IntDeaths
141,2016-02-29 09:18:26,68.1288888888889,52,52,Ral513/H2O2,Ral513,H2O2,Y,0,4,0,0,0,5,21,1
142,2016-02-29 09:18:26,68.1288888888889,53,53,Ral799/H2O2,Ral799,H2O2,Y,0,1,0,0,0,9,21,1
143,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
144,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
145,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
146,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
147,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
148,2016-02-29 09:18:26,68.1288888888889,54,54,Ral356/H2O2,Ral356,H2O2,Y,0,7,0,0,0,3,21,1
149,2016-02-29 09:18:26,68.1288888888889,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,6,0,0,0,4,21,1
150,2016-02-29 09:18:26,68.1288888888889,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,6,0,0,0,4,21,1
151,2016-02-29 09:18:26,68.1288888888889,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,6,0,0,0,4,21,1
152,2016-02-29 09:18:26,68.1288888888889,55,55,Ral528/H2O2,Ral528,H2O2,Y,0,6,0,0,0,4,21,1
153,2016-02-29 09:18:26,68.1288888888889,58,58,Ral406/H2O2,Ral406,H2O2,Y,0,1,0,0,0,8,21,1
154,2016-02-29 09:18:26,68.1288888888889,60,60,Ral774/H2O2,Ral774,H2O2,Y,0,1,0,0,0,9,21,1
155,2016-02-29 09:18:26,68.1288888888889,61,61,Ral843/H2O2,Ral843,H2O2,Y,0,1,0,0,0,9,21,1
156,2016-02-29 09:18:26,68.1288888888889,63,63,Ral513/H2O2,Ral513,H2O2,Y,0,3,0,0,0,7,21,1
157,2016-02-29 09:18:26,68.1288888888889,63,63,Ral513/H2O2,Ral513,H2O2,Y,0,3,0,0,0,7,21,1
158,2016-02-29 09:18:26,68.1288888888889,63,63,Ral513/H2O2,Ral513,H2O2,Y,0,3,0,0,0,7,21,1
